ts_ms,open,high,low,close,volume
1451606400000,430.35,437.15,427.92,435.66,3863.27745054
1451692800000,435.67,437.56,432.41,435.4,3276.70962113
1451779200000,435.4,435.75,425.02,431.91,3904.33531811
1451865600000,431.9,435.79,431.37,433.85,5894.44572317
1451952000000,433.84,435.64,430.0,433.34,5150.10947569
1452038400000,433.32,433.46,428.15,430.87,5476.95995944
1452124800000,430.66,460.15,430.64,459.07,13907.20172902
1452211200000,459.07,464.4,447.53,454.44,8347.0950396
1452297600000,454.41,456.0,447.66,450.38,4247.63965095
1452384000000,450.39,451.39,442.96,449.99,3954.32239952
1452470400000,449.99,452.65,445.88,449.19,5597.63718315
1452556800000,449.26,449.44,431.83,434.01,6596.94545292
1452643200000,434.01,437.5,425.0,432.77,9009.15070912
1452729600000,432.7,435.27,428.0,430.03,5673.63296245
1452816000000,430.04,430.29,357.3,357.53,28641.67358553
1452902400000,357.59,391.0,350.92,388.7,17985.23878449
1452988800000,388.7,391.0,372.0,378.46,8278.40179348
1453075200000,378.47,386.1,370.1,384.89,8711.45975604
1453161600000,384.79,385.5,370.0,375.27,8133.36701034
1453248000000,375.28,425.1,369.0,418.54,13874.69165931
1453334400000,418.89,424.78,403.21,409.38,8739.16341887
1453420800000,409.02,413.99,373.86,382.9,13430.10303924
1453507200000,382.93,398.72,382.55,387.5,6310.0300222
1453593600000,387.5,406.93,387.49,403.05,3550.83177183
1453680000000,403.04,403.04,386.41,391.4,6491.99981186
1453766400000,391.4,397.0,387.78,391.54,6981.00990035
1453852800000,391.7,397.18,390.7,394.79,6324.16419027
1453939200000,394.6,395.0,377.12,379.61,9103.71549887
1454025600000,379.63,385.05,363.25,378.68,12105.31043689
1454112000000,378.68,382.04,375.0,378.46,4154.2964224
1454198400000,378.46,382.5,365.0,367.95,5506.77681302
1454284800000,367.89,379.0,366.26,371.33,7931.22922922
1454371200000,371.33,374.41,371.17,372.93,6856.21815799
1454457600000,372.93,373.01,365.63,368.87,7147.95657328
1454544000000,368.87,390.63,368.74,387.99,8887.7572324
1454630400000,387.99,389.36,382.99,384.5,7443.92933224
1454716800000,384.44,384.54,370.05,375.44,6276.66473729
1454803200000,375.44,379.81,373.24,377.49,4164.50911131
1454889600000,377.47,379.35,370.5,371.14,7094.20857777
1454976000000,371.02,374.93,370.13,372.68,8424.5942075
1455062400000,372.76,383.34,371.87,378.44,9736.03682475
1455148800000,378.49,379.5,360.0,378.23,10413.06371586
