ts_ms,open,high,low,close,volume
1483228800000,8.16,8.6,8.08,8.18,59519.78894094
1483315200000,8.2,8.53,8.05,8.38,70490.23263029
1483401600000,8.38,10.02,8.24,9.59,193090.5325617
1483488000000,9.62,11.17,9.34,11.17,249702.49312189
1483574400000,11.13,11.8,9.08,10.23,318195.64966402
1483660800000,10.23,10.46,9.52,10.14,139579.01357529
1483747200000,10.14,10.21,9.55,9.92,68202.88241145
1483833600000,9.92,10.58,9.89,10.5,62882.92455958
1483920000000,10.5,10.94,10.23,10.39,71537.68592965
1484006400000,10.41,10.75,10.34,10.63,55080.01658617
1484092800000,10.63,10.84,9.47,9.95,156690.86721608
1484179200000,9.96,10.17,9.12,9.8,79647.24561381
1484265600000,9.81,9.91,9.51,9.84,77394.58240566
1484352000000,9.84,9.94,9.69,9.86,37283.35356003
1484438400000,9.86,10.05,9.8,9.9,27754.14426025
1484524800000,9.91,10.23,9.56,9.66,63109.15135822
1484611200000,9.66,10.53,9.65,10.34,70391.9885457
1484697600000,10.33,10.51,9.99,10.23,62955.27909693
1484784000000,10.24,10.5,10.18,10.42,47611.24661444
1484870400000,10.46,10.81,10.42,10.62,59455.01891867
1484956800000,10.65,11.06,10.58,10.93,60044.83210136
1485043200000,10.94,11.07,10.66,10.77,49893.01076167
1485129600000,10.77,10.85,10.65,10.8,35338.62281061
1485216000000,10.79,10.92,10.51,10.57,55179.70253114
1485302400000,10.57,10.66,10.43,10.55,41045.88754223
1485388800000,10.54,10.67,10.5,10.6,43444.18171844
1485475200000,10.61,10.64,10.42,10.55,45845.48034511
1485561600000,10.55,10.58,10.47,10.58,26322.92714156
1485648000000,10.58,10.58,10.46,10.49,19237.12895493
1485734400000,10.5,10.71,10.37,10.6,42007.88104909
1485820800000,10.59,10.79,10.58,10.7,40509.60288467
1485907200000,10.7,10.86,10.51,10.72,58400.82763664
1485993600000,10.73,10.86,10.62,10.82,48583.70326323
1486080000000,10.82,10.99,10.67,10.99,49696.94671619
1486166400000,10.99,11.45,10.98,11.41,89642.39949355
1486252800000,11.39,11.44,11.15,11.26,39382.95306944
1486339200000,11.27,11.42,11.22,11.34,47907.3447215
1486425600000,11.33,11.59,11.29,11.51,57274.01020311
1486512000000,11.51,11.65,11.15,11.41,88158.86526488
1486598400000,11.41,11.54,10.61,11.02,118356.17173816
1486684800000,11.02,11.48,10.88,11.43,69285.63535576
1486771200000,11.44,11.52,11.34,11.52,35280.52010547
1486857600000,11.51,11.54,11.4,11.5,23350.56327133
1486944000000,11.5,11.54,11.21,11.43,50130.29677266
1487030400000,11.42,14.7,11.39,13.14,260872.34248683
1487116800000,13.16,13.2,12.66,12.98,117752.61105449
1487203200000,12.98,13.03,12.62,12.89,89348.20727242
1487289600000,12.92,12.95,12.71,12.75,90714.24317995
1487376000000,12.77,12.93,12.77,12.89,45730.92082413
1487462400000,12.87,12.95,12.79,12.9,34815.25412059
1487548800000,12.9,12.95,12.56,12.61,70683.04381469
1487635200000,12.59,12.87,12.3,12.83,99099.33659705
1487721600000,12.83,12.99,12.68,12.75,83638.11582907
1487808000000,12.74,13.37,12.73,13.21,101645.2415701
1487894400000,13.22,13.33,12.81,13.2,141593.77689977
1487980800000,13.18,13.87,13.06,13.65,96882.62283402
1488067200000,13.64,14.84,13.4,14.74,100654.43777812
1488153600000,14.74,16.32,14.37,15.66,228006.55645929
1488240000000,15.66,16.94,15.21,16.4,345271.59116257
1488326400000,15.75,17.58,15.68,17.37,251745.10779028
1488412800000,17.46,19.99,16.88,19.27,353524.92611792
1488499200000,19.27,21.49,18.2,19.68,418297.89550869
1488585600000,19.61,20.4,18.65,18.65,150803.54752055
1488672000000,18.65,19.45,18.18,19.4,128246.54175649
1488758400000,19.39,20.24,19.17,19.68,141853.14193665
1488844800000,19.68,19.77,18.59,18.96,156651.35264277
1488931200000,18.96,18.96,16.65,16.68,280505.20713503
1489017600000,16.66,18.29,16.2,17.82,182292.81461265
1489104000000,17.81,19.7,17.01,19.2,309439.25716125
1489190400000,19.21,21.89,18.91,21.64,228815.88246844
1489276800000,21.67,24.25,21.33,23.39,263673.05636486
1489363200000,23.38,31.1,23.38,28.64,625354.24051185
1489449600000,28.63,30.0,27.16,28.69,226096.64753758
1489536000000,28.69,35.86,28.5,35.65,408524.96947696
1489622400000,35.66,47.03,35.65,45.96,732580.28886923
1489708800000,45.97,57.67,35.04,44.62,719985.84989644
1489795200000,44.62,45.0,30.7,33.64,569966.50109942
1489881600000,34.03,45.64,33.78,43.21,459232.39385515
1489968000000,43.21,45.25,40.86,42.31,229608.94221823
1490054400000,42.37,43.68,41.76,42.36,153385.24652058
1490140800000,42.39,42.59,38.26,41.37,215331.31154119
1490227200000,41.33,43.97,40.33,42.99,176283.58226551
1490313600000,42.92,53.44,42.5,52.93,412077.11150094
1490400000000,52.93,53.4,47.29,50.5,322875.49976772
1490486400000,50.61,51.5,48.51,50.73,139381.60730493
1490572800000,50.74,51.71,48.28,48.97,167954.10960827
1490659200000,48.97,50.44,48.51,50.3,148961.43460651
1490745600000,50.29,53.97,50.11,53.1,242696.94276526
1490832000000,53.11,53.34,51.52,51.88,133949.75343624
1490918400000,51.87,52.41,46.98,50.18,248184.61398357
1491004800000,50.17,51.85,48.85,50.71,90500.31838149
1491091200000,50.72,51.19,48.14,48.74,150244.53593327
1491177600000,48.74,48.97,42.39,44.25,324319.06028293
1491264000000,44.33,46.25,41.45,44.47,218472.02147232
1491350400000,44.45,47.63,44.2,44.78,153161.83660282
1491436800000,44.97,45.97,41.1,43.3,172306.59173301
1491523200000,43.31,44.64,41.57,42.32,106456.14070104
1491609600000,42.32,45.5,42.31,44.45,78801.726831
1491696000000,44.5,44.74,42.72,43.92,56534.48029788
1491782400000,43.92,44.65,42.72,43.92,68377.98513004
1491868800000,43.92,44.5,43.55,43.83,55284.12760715
1491955200000,43.84,47.88,43.58,46.48,124468.48627904
1492041600000,46.48,51.11,46.22,49.77,175187.47016084
1492128000000,49.86,50.0,46.52,47.2,85109.7751633
1492214400000,47.19,74.98,46.78,48.94,43693.04585819
1492300800000,48.93,49.25,47.5,48.13,42384.56530848
1492387200000,48.19,48.29,47.5,47.94,54227.36640121
1492473600000,47.94,49.93,47.7,49.79,81393.9122876
1492560000000,49.85,50.32,47.25,47.78,103907.90858065
1492646400000,47.71,49.5,47.6,49.38,93735.58522977
1492732800000,49.39,49.49,48.24,48.37,76552.53094971
1492819200000,48.38,49.08,48.22,48.61,59641.96199605
1492905600000,48.58,49.0,48.25,48.96,53556.71591886
1492992000000,48.95,50.44,48.94,50.12,87541.85950957
1493078400000,50.11,50.75,50.0,50.31,76648.08871869
1493164800000,50.28,54.85,50.25,53.42,188049.80301613
1493251200000,53.4,63.99,52.66,63.67,307148.30636896
1493337600000,63.65,74.9,62.5,73.14,442921.18135476
1493424000000,73.17,74.89,68.24,70.4,243330.29671571
1493510400000,70.37,82.9,70.0,80.87,272307.30087488
1493596800000,80.72,85.21,72.24,79.35,417924.11535989
1493683200000,79.05,83.07,75.54,77.55,211378.02819441
1493769600000,77.55,81.4,75.89,81.29,217887.00012124
1493856000000,81.19,96.66,80.31,95.97,356318.1438017
1493942400000,95.98,98.98,89.0,91.93,241440.1723698
1494028800000,91.94,96.42,91.94,95.84,111473.40974383
1494115200000,95.74,97.95,90.0,93.82,146704.7426076
1494201600000,93.83,94.74,85.1,89.25,212998.74977984
1494288000000,89.25,90.08,75.89,86.58,274317.97090647
1494374400000,86.77,91.98,85.39,88.36,143176.40257741
1494460800000,88.36,90.99,87.01,88.3,115231.87479637
1494547200000,88.3,90.3,82.2,85.17,135905.56078613
1494633600000,85.19,88.74,82.0,88.42,88764.58772447
1494720000000,88.38,89.94,87.13,89.39,53063.13338631
1494806400000,89.42,94.7,89.28,91.0,131363.64582398
1494892800000,91.0,92.3,87.08,87.98,127231.00022453
1494979200000,87.97,89.98,82.5,86.88,152795.43726305
1495065600000,86.88,96.2,86.5,96.2,173625.24322665
1495152000000,96.2,129.98,96.18,125.14,484630.316657
1495238400000,125.04,129.34,121.0,123.63,201025.57359568
1495324800000,123.56,148.97,122.0,148.78,324006.43960756
1495411200000,148.86,184.22,131.22,160.1,644273.1716854
1495497600000,160.38,177.9,155.7,169.95,269504.95674999
1495584000000,169.9,202.0,167.7,196.06,361470.85784076
1495670400000,196.05,217.85,162.04,181.51,484975.36393576
1495756800000,181.4,199.99,140.0,163.8,442739.38733464
1495843200000,163.78,172.0,115.67,159.91,465437.92029385
1495929600000,159.71,185.0,159.59,175.48,236048.08435851
1496016000000,175.48,199.0,167.0,194.82,218954.39607822
